bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
C001090,2019 HON. MATT CARTWRIGHT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6133.19,2227.55,Matt Cartwright,D,PA,17,116,2019Q3,true
C001090,2019 HON. MATT CARTWRIGHT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,10002.3,5605.86,Matt Cartwright,D,PA,17,116,2019Q3,true
C001055,2019 HON. ED CASE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,50553.89,1222.13,Ed Case,D,HI,1,116,2019Q3,true
C001055,2019 HON. ED CASE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,600864.18,216355.55,Ed Case,D,HI,1,116,2019Q3,true
C001055,2019 HON. ED CASE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,50098.05,15420.34,Ed Case,D,HI,1,116,2019Q3,true
C001055,2019 HON. ED CASE,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,70577.47,23285.72,Ed Case,D,HI,1,116,2019Q3,true
C001055,2019 HON. ED CASE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,48213.58,3382.06,Ed Case,D,HI,1,116,2019Q3,true
C001055,2019 HON. ED CASE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17589.33,5505,Ed Case,D,HI,1,116,2019Q3,true
C001055,2019 HON. ED CASE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,39144.13,8458.72,Ed Case,D,HI,1,116,2019Q3,true
C001055,2019 HON. ED CASE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10160.24,1641.35,Ed Case,D,HI,1,116,2019Q3,true
C001055,2019 HON. ED CASE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8841.28,5529.78,Ed Case,D,HI,1,116,2019Q3,true
C001117,2019 HON. SEAN CASTEN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2125.55,1769.74,Sean Casten,D,IL,6,116,2019Q3,true
C001117,2019 HON. SEAN CASTEN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,549348.91,210376.67,Sean Casten,D,IL,6,116,2019Q3,true
C001117,2019 HON. SEAN CASTEN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,20273.57,11095.12,Sean Casten,D,IL,6,116,2019Q3,true
C001117,2019 HON. SEAN CASTEN,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,40580.22,16237.92,Sean Casten,D,IL,6,116,2019Q3,true
C001117,2019 HON. SEAN CASTEN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1523.41,763.75,Sean Casten,D,IL,6,116,2019Q3,true
C001117,2019 HON. SEAN CASTEN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,42455,19942,Sean Casten,D,IL,6,116,2019Q3,true
C001117,2019 HON. SEAN CASTEN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,26419.69,14903.37,Sean Casten,D,IL,6,116,2019Q3,true
C001117,2019 HON. SEAN CASTEN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11340.28,8858.14,Sean Casten,D,IL,6,116,2019Q3,true
C001117,2019 HON. SEAN CASTEN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9411.11,7619.45,Sean Casten,D,IL,6,116,2019Q3,true
C001066,2019 HON. KATHY CASTOR,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,21181.1,11222.6,Kathy Castor,D,FL,14,116,2019Q3,true
C001066,2019 HON. KATHY CASTOR,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,735869.35,242045.51,Kathy Castor,D,FL,14,116,2019Q3,true
C001066,2019 HON. KATHY CASTOR,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28526.76,11640.39,Kathy Castor,D,FL,14,116,2019Q3,true
C001066,2019 HON. KATHY CASTOR,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,60813.22,25523.63,Kathy Castor,D,FL,14,116,2019Q3,true
C001066,2019 HON. KATHY CASTOR,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,15478.37,109.9,Kathy Castor,D,FL,14,116,2019Q3,true
C001066,2019 HON. KATHY CASTOR,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,24895,8610,Kathy Castor,D,FL,14,116,2019Q3,true
C001066,2019 HON. KATHY CASTOR,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11166.23,4383.88,Kathy Castor,D,FL,14,116,2019Q3,true
C001066,2019 HON. KATHY CASTOR,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8777.14,1261.54,Kathy Castor,D,FL,14,116,2019Q3,true
C001066,2019 HON. KATHY CASTOR,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18360,7680,Kathy Castor,D,FL,14,116,2019Q3,true
C001091,2019 HON. JOAQUIN CASTRO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,8310.91,407.61,Joaquin Castro,D,TX,20,116,2019Q3,true
C001091,2019 HON. JOAQUIN CASTRO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,655783.28,211731.65,Joaquin Castro,D,TX,20,116,2019Q3,true
C001091,2019 HON. JOAQUIN CASTRO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,47225.13,18889.18,Joaquin Castro,D,TX,20,116,2019Q3,true
C001091,2019 HON. JOAQUIN CASTRO,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,53762.86,19740.03,Joaquin Castro,D,TX,20,116,2019Q3,true
C001091,2019 HON. JOAQUIN CASTRO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1493.82,79.9,Joaquin Castro,D,TX,20,116,2019Q3,true
C001091,2019 HON. JOAQUIN CASTRO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27332.31,9275.41,Joaquin Castro,D,TX,20,116,2019Q3,true
C001091,2019 HON. JOAQUIN CASTRO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7548.35,3088.76,Joaquin Castro,D,TX,20,116,2019Q3,true
C001091,2019 HON. JOAQUIN CASTRO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3161,744,Joaquin Castro,D,TX,20,116,2019Q3,true
C001091,2019 HON. JOAQUIN CASTRO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7832.4,6456,Joaquin Castro,D,TX,20,116,2019Q3,true
C000266,2019 HON. STEVE CHABOT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1450.19,501.19,Steve Chabot,R,OH,1,116,2019Q3,true
C000266,2019 HON. STEVE CHABOT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,691284.56,231615.27,Steve Chabot,R,OH,1,116,2019Q3,true
C000266,2019 HON. STEVE CHABOT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,32729.95,12522.95,Steve Chabot,R,OH,1,116,2019Q3,true
C000266,2019 HON. STEVE CHABOT,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,86085.56,35355.39,Steve Chabot,R,OH,1,116,2019Q3,true
C000266,2019 HON. STEVE CHABOT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2690.2,1022.01,Steve Chabot,R,OH,1,116,2019Q3,true
C000266,2019 HON. STEVE CHABOT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31665.24,6555,Steve Chabot,R,OH,1,116,2019Q3,true
C000266,2019 HON. STEVE CHABOT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7953.15,3956.48,Steve Chabot,R,OH,1,116,2019Q3,true
C000266,2019 HON. STEVE CHABOT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3496.99,1837.99,Steve Chabot,R,OH,1,116,2019Q3,true
C000266,2019 HON. STEVE CHABOT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,7740,4770,Steve Chabot,R,OH,1,116,2019Q3,true
C001109,2019 HON. LIZ CHENEY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2715.55,763.92,Liz Cheney,R,WY,0,116,2019Q3,true
C001109,2019 HON. LIZ CHENEY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,587791.12,203166.7,Liz Cheney,R,WY,0,116,2019Q3,true
C001109,2019 HON. LIZ CHENEY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51287.39,27059.26,Liz Cheney,R,WY,0,116,2019Q3,true
C001109,2019 HON. LIZ CHENEY,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,45129.82,15893.55,Liz Cheney,R,WY,0,116,2019Q3,true
C001109,2019 HON. LIZ CHENEY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1867.09,367.96,Liz Cheney,R,WY,0,116,2019Q3,true
C001109,2019 HON. LIZ CHENEY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,25476.87,8436.27,Liz Cheney,R,WY,0,116,2019Q3,true
C001109,2019 HON. LIZ CHENEY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9500.26,1958.93,Liz Cheney,R,WY,0,116,2019Q3,true
C001109,2019 HON. LIZ CHENEY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5225,1575,Liz Cheney,R,WY,0,116,2019Q3,true
C001109,2019 HON. LIZ CHENEY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11410,4500,Liz Cheney,R,WY,0,116,2019Q3,true
C001080,2019 HON. JUDY CHU,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,841.84,116.19,Judy Chu,D,CA,27,116,2019Q3,true
C001080,2019 HON. JUDY CHU,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,718271.57,248949.3,Judy Chu,D,CA,27,116,2019Q3,true
C001080,2019 HON. JUDY CHU,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,45074.31,17085.99,Judy Chu,D,CA,27,116,2019Q3,true
C001080,2019 HON. JUDY CHU,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,126415.51,43234.64,Judy Chu,D,CA,27,116,2019Q3,true
C001080,2019 HON. JUDY CHU,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,8356.65,1742,Judy Chu,D,CA,27,116,2019Q3,true
C001080,2019 HON. JUDY CHU,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32300.62,10904.22,Judy Chu,D,CA,27,116,2019Q3,true
C001080,2019 HON. JUDY CHU,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12265.73,4005.78,Judy Chu,D,CA,27,116,2019Q3,true
C001080,2019 HON. JUDY CHU,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3355.23,1299.78,Judy Chu,D,CA,27,116,2019Q3,true
C001080,2019 HON. JUDY CHU,INTERN ALLOWANCES,PERSONNEL COMPENSATION,4589.03,4589.03,Judy Chu,D,CA,27,116,2019Q3,true
C001084,2019 HON. DAVID N. CICILLINE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,645.56,320.35,David N. Cicilline,D,RI,1,116,2019Q3,true
C001084,2019 HON. DAVID N. CICILLINE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,766069.54,265372.27,David N. Cicilline,D,RI,1,116,2019Q3,true
C001084,2019 HON. DAVID N. CICILLINE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15700.47,4632.27,David N. Cicilline,D,RI,1,116,2019Q3,true
C001084,2019 HON. DAVID N. CICILLINE,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,60369.43,31450.51,David N. Cicilline,D,RI,1,116,2019Q3,true
C001084,2019 HON. DAVID N. CICILLINE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3358.06,1482.42,David N. Cicilline,D,RI,1,116,2019Q3,true
C001084,2019 HON. DAVID N. CICILLINE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33840,11730,David N. Cicilline,D,RI,1,116,2019Q3,true
C001084,2019 HON. DAVID N. CICILLINE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4962.52,2426.63,David N. Cicilline,D,RI,1,116,2019Q3,true
C001084,2019 HON. DAVID N. CICILLINE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1146.32,454.52,David N. Cicilline,D,RI,1,116,2019Q3,true
C001084,2019 HON. DAVID N. CICILLINE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,1766.66,0,David N. Cicilline,D,RI,1,116,2019Q3,true
C001123,2019 HON. GILBERT RAY CISNEROS JR.,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,9606.61,9562.05,"Gilbert Ray Cisneros, Jr.",D,CA,39,116,2019Q3,true
C001123,2019 HON. GILBERT RAY CISNEROS JR.,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,665348.83,241430.6,"Gilbert Ray Cisneros, Jr.",D,CA,39,116,2019Q3,true
C001123,2019 HON. GILBERT RAY CISNEROS JR.,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,38711.52,13796,"Gilbert Ray Cisneros, Jr.",D,CA,39,116,2019Q3,true
C001123,2019 HON. GILBERT RAY CISNEROS JR.,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,73134.39,30848.61,"Gilbert Ray Cisneros, Jr.",D,CA,39,116,2019Q3,true
C001123,2019 HON. GILBERT RAY CISNEROS JR.,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,26899.09,22923.74,"Gilbert Ray Cisneros, Jr.",D,CA,39,116,2019Q3,true
C001123,2019 HON. GILBERT RAY CISNEROS JR.,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28996.18,12495.15,"Gilbert Ray Cisneros, Jr.",D,CA,39,116,2019Q3,true
C001123,2019 HON. GILBERT RAY CISNEROS JR.,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,34088.18,4628.52,"Gilbert Ray Cisneros, Jr.",D,CA,39,116,2019Q3,true
C001123,2019 HON. GILBERT RAY CISNEROS JR.,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,15476.35,6447.78,"Gilbert Ray Cisneros, Jr.",D,CA,39,116,2019Q3,true
C001123,2019 HON. GILBERT RAY CISNEROS JR.,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14684.61,6264.88,"Gilbert Ray Cisneros, Jr.",D,CA,39,116,2019Q3,true
C001101,2019 HON. KATHERINE M. CLARK,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2089.73,820.61,Katherine M. Clark,D,MA,5,116,2019Q3,true
C001101,2019 HON. KATHERINE M. CLARK,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,760977.65,263250.03,Katherine M. Clark,D,MA,5,116,2019Q3,true
C001101,2019 HON. KATHERINE M. CLARK,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12958.36,4602.12,Katherine M. Clark,D,MA,5,116,2019Q3,true
C001101,2019 HON. KATHERINE M. CLARK,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,64372.22,17662.36,Katherine M. Clark,D,MA,5,116,2019Q3,true
C001101,2019 HON. KATHERINE M. CLARK,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2934.56,1432.9,Katherine M. Clark,D,MA,5,116,2019Q3,true
C001101,2019 HON. KATHERINE M. CLARK,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,36946.66,13130,Katherine M. Clark,D,MA,5,116,2019Q3,true
C001101,2019 HON. KATHERINE M. CLARK,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9654.76,790.52,Katherine M. Clark,D,MA,5,116,2019Q3,true
C001101,2019 HON. KATHERINE M. CLARK,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4651.75,900,Katherine M. Clark,D,MA,5,116,2019Q3,true
C001101,2019 HON. KATHERINE M. CLARK,INTERN ALLOWANCES,PERSONNEL COMPENSATION,9562.5,6262.5,Katherine M. Clark,D,MA,5,116,2019Q3,true
C001067,2019 HON. YVETTE D. CLARKE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,256.72,126,Yvette D. Clarke,D,NY,9,116,2019Q3,true
C001067,2019 HON. YVETTE D. CLARKE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,586383.84,199635.58,Yvette D. Clarke,D,NY,9,116,2019Q3,true
C001067,2019 HON. YVETTE D. CLARKE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,44212.93,23692.04,Yvette D. Clarke,D,NY,9,116,2019Q3,true
C001067,2019 HON. YVETTE D. CLARKE,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,66680.03,24928.35,Yvette D. Clarke,D,NY,9,116,2019Q3,true
C001067,2019 HON. YVETTE D. CLARKE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5144.25,485.1,Yvette D. Clarke,D,NY,9,116,2019Q3,true
C001067,2019 HON. YVETTE D. CLARKE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28815.56,9448.24,Yvette D. Clarke,D,NY,9,116,2019Q3,true
C001067,2019 HON. YVETTE D. CLARKE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,28776.7,6264.39,Yvette D. Clarke,D,NY,9,116,2019Q3,true
C001067,2019 HON. YVETTE D. CLARKE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2097,699,Yvette D. Clarke,D,NY,9,116,2019Q3,true
C001067,2019 HON. YVETTE D. CLARKE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8673.33,6906.67,Yvette D. Clarke,D,NY,9,116,2019Q3,true
C001049,2019 HON. WM. LACY CLAY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,11194.86,5557.41,Wm. Lacy Clay,D,MO,1,116,2019Q3,true
C001049,2019 HON. WM. LACY CLAY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,817978.59,278354.99,Wm. Lacy Clay,D,MO,1,116,2019Q3,true
C001049,2019 HON. WM. LACY CLAY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,24453.52,8862.88,Wm. Lacy Clay,D,MO,1,116,2019Q3,true
C001049,2019 HON. WM. LACY CLAY,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,95380.67,35884.73,Wm. Lacy Clay,D,MO,1,116,2019Q3,true
C001049,2019 HON. WM. LACY CLAY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,8030.16,4761.01,Wm. Lacy Clay,D,MO,1,116,2019Q3,true
C001049,2019 HON. WM. LACY CLAY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27997.41,10376.7,Wm. Lacy Clay,D,MO,1,116,2019Q3,true
C001049,2019 HON. WM. LACY CLAY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,9050.14,1429.93,Wm. Lacy Clay,D,MO,1,116,2019Q3,true
C001049,2019 HON. WM. LACY CLAY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,17070.81,2090,Wm. Lacy Clay,D,MO,1,116,2019Q3,true
C001049,2019 HON. WM. LACY CLAY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12513.31,6033.31,Wm. Lacy Clay,D,MO,1,116,2019Q3,true
C001061,2019 HON. EMANUEL CLEAVER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,986.71,320.17,Emanuel Cleaver,D,MO,5,116,2019Q3,true
C001061,2019 HON. EMANUEL CLEAVER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,759472.6,283074.63,Emanuel Cleaver,D,MO,5,116,2019Q3,true
C001061,2019 HON. EMANUEL CLEAVER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,32958.57,13315.76,Emanuel Cleaver,D,MO,5,116,2019Q3,true
C001061,2019 HON. EMANUEL CLEAVER,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,99875.51,39256.52,Emanuel Cleaver,D,MO,5,116,2019Q3,true
C001061,2019 HON. EMANUEL CLEAVER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2362.61,339.5,Emanuel Cleaver,D,MO,5,116,2019Q3,true
C001061,2019 HON. EMANUEL CLEAVER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,39412.69,14363.43,Emanuel Cleaver,D,MO,5,116,2019Q3,true
C001061,2019 HON. EMANUEL CLEAVER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11239.45,3220.74,Emanuel Cleaver,D,MO,5,116,2019Q3,true
C001061,2019 HON. EMANUEL CLEAVER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3501,1167,Emanuel Cleaver,D,MO,5,116,2019Q3,true
C001061,2019 HON. EMANUEL CLEAVER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11932.68,8032.67,Emanuel Cleaver,D,MO,5,116,2019Q3,true
C001118,2019 HON. BEN CLINE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3065.67,1994.31,Ben Cline,R,VA,6,116,2019Q3,true
C001118,2019 HON. BEN CLINE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,790615.14,262733.39,Ben Cline,R,VA,6,116,2019Q3,true
C001118,2019 HON. BEN CLINE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,14934.3,5700.18,Ben Cline,R,VA,6,116,2019Q3,true
C001118,2019 HON. BEN CLINE,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,66899.71,23515.75,Ben Cline,R,VA,6,116,2019Q3,true
C001118,2019 HON. BEN CLINE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4237.56,966.59,Ben Cline,R,VA,6,116,2019Q3,true
C001118,2019 HON. BEN CLINE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28114.4,5833.4,Ben Cline,R,VA,6,116,2019Q3,true
C001118,2019 HON. BEN CLINE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13539.12,2565.58,Ben Cline,R,VA,6,116,2019Q3,true
C001118,2019 HON. BEN CLINE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4270.33,593.25,Ben Cline,R,VA,6,116,2019Q3,true
C001118,2019 HON. BEN CLINE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,10000,4843.75,Ben Cline,R,VA,6,116,2019Q3,true
C001115,2019 HON. MICHAEL CLOUD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,20846.68,1264.86,Michael Cloud,R,TX,27,116,2019Q3,true
C001115,2019 HON. MICHAEL CLOUD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,612774.05,203011.12,Michael Cloud,R,TX,27,116,2019Q3,true
C001115,2019 HON. MICHAEL CLOUD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51810.87,20347.26,Michael Cloud,R,TX,27,116,2019Q3,true
C001115,2019 HON. MICHAEL CLOUD,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,51133.08,21007.65,Michael Cloud,R,TX,27,116,2019Q3,true
C001115,2019 HON. MICHAEL CLOUD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4206.14,831.56,Michael Cloud,R,TX,27,116,2019Q3,true
C001115,2019 HON. MICHAEL CLOUD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33634.99,12605,Michael Cloud,R,TX,27,116,2019Q3,true
C001115,2019 HON. MICHAEL CLOUD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4652.26,799.77,Michael Cloud,R,TX,27,116,2019Q3,true
C001115,2019 HON. MICHAEL CLOUD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2016.26,-3035.52,Michael Cloud,R,TX,27,116,2019Q3,true
C001115,2019 HON. MICHAEL CLOUD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5795,2555,Michael Cloud,R,TX,27,116,2019Q3,true
C000537,2019 HON. JAMES E. CLYBURN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1165.53,283.28,James E. Clyburn,D,SC,6,116,2019Q3,true
C000537,2019 HON. JAMES E. CLYBURN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,582579.68,191137,James E. Clyburn,D,SC,6,116,2019Q3,true
C000537,2019 HON. JAMES E. CLYBURN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,44921.2,19773.15,James E. Clyburn,D,SC,6,116,2019Q3,true
C000537,2019 HON. JAMES E. CLYBURN,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,119092.02,89263.24,James E. Clyburn,D,SC,6,116,2019Q3,true
C000537,2019 HON. JAMES E. CLYBURN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2058.32,304.47,James E. Clyburn,D,SC,6,116,2019Q3,true
C000537,2019 HON. JAMES E. CLYBURN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38185.72,14216.75,James E. Clyburn,D,SC,6,116,2019Q3,true
C000537,2019 HON. JAMES E. CLYBURN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13486.34,3521.2,James E. Clyburn,D,SC,6,116,2019Q3,true
C000537,2019 HON. JAMES E. CLYBURN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,30885.34,24022.96,James E. Clyburn,D,SC,6,116,2019Q3,true
C000537,2019 HON. JAMES E. CLYBURN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,1852.77,990.27,James E. Clyburn,D,SC,6,116,2019Q3,true
C001068,2019 HON. STEVE COHEN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4310.52,1676.72,Steve Cohen,D,TN,9,116,2019Q3,true
C001068,2019 HON. STEVE COHEN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,732053.16,249152.76,Steve Cohen,D,TN,9,116,2019Q3,true
C001068,2019 HON. STEVE COHEN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19172.68,8161.52,Steve Cohen,D,TN,9,116,2019Q3,true
C001068,2019 HON. STEVE COHEN,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,71174.2,25652.89,Steve Cohen,D,TN,9,116,2019Q3,true
C001068,2019 HON. STEVE COHEN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2139.06,1108.1,Steve Cohen,D,TN,9,116,2019Q3,true
C001068,2019 HON. STEVE COHEN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27671.02,9140.4,Steve Cohen,D,TN,9,116,2019Q3,true
C001068,2019 HON. STEVE COHEN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8433.21,4069.22,Steve Cohen,D,TN,9,116,2019Q3,true
